	tumor	malignant(1=no,2=yes,0=unresolved)	non-malignant cell type (1=T,2=B,3=Macro.4=Endo.,5=CAF;6=NK)
cy78-CD45-neg-1-B04-S496-comb	78	2	0
cy78-CD45-neg-3-H06-S762-comb	78	2	0
cy78-CD45-neg-1-D07-S523-comb	78	2	0
cy78-CD45-neg-3-D01-S709-comb	78	2	0
cy78-CD45-neg-2-B08-S596-comb	78	2	0
cy78-CD45-neg-1-E02-S530-comb	78	2	0
cy78-CD45-neg-3-B02-S686-comb	78	2	0
cy78-CD45-neg-3-D04-S712-comb	78	2	0
cy78-CD45-neg-3-E02-S722-comb	78	2	0
cy78-CD45-neg-3-D10-S718-comb	78	2	0
cy78-CD45-neg-1-G05-S557-comb	78	2	0
cy78-CD45-neg-3-G11-S755-comb	78	2	0
cy78-CD45-neg-1-H01-S565-comb	78	2	0
cy78-CD45-neg-1-C02-S506-comb	78	2	0
cy78-CD45-neg-1-A05-S485-comb	78	2	0
cy78-CD45-neg-1-E03-S531-comb	78	2	0
cy78-CD45-neg-1-E07-S535-comb	78	2	0
cy78-CD45-neg-2-C06-S606-comb	78	2	0
cy78-CD45-neg-3-G02-S746-comb	78	2	0
cy78-CD45-neg-1-B02-S494-comb	78	2	0
cy78-CD45-neg-1-H07-S571-comb	78	2	0
cy78-CD45-neg-2-C08-S608-comb	78	0	0
cy78-CD45-neg-1-F06-S546-comb	78	2	0
cy78-CD45-neg-3-D02-S710-comb	78	0	0
cy78-CD45-neg-1-A04-S484-comb	78	2	0
cy78-CD45-neg-1-H08-S572-comb	78	2	0
cy78-CD45-neg-1-F02-S542-comb	78	2	0
cy78-CD45-neg-3-G07-S751-comb	78	2	0
cy78-CD45-neg-1-F10-S550-comb	78	2	0
cy78-CD45-neg-3-E05-S725-comb	78	2	0
cy78-CD45-neg-1-H04-S568-comb	78	2	0
cy78-CD45-neg-3-G09-S753-comb	78	2	0
cy78-CD45-neg-1-B08-S500-comb	78	2	0
cy78-CD45-neg-3-D07-S715-comb	78	2	0
cy78-CD45-neg-1-A03-S483-comb	78	2	0
cy78-CD45-neg-1-F08-S548-comb	78	2	0
cy78-CD45-neg-3-D08-S716-comb	78	2	0
cy78-CD45-neg-2-C05-S605-comb	78	2	0
cy78-CD45-neg-1-G04-S556-comb	78	2	0
cy78-CD45-neg-1-D05-S521-comb	78	2	0
cy78-CD45-neg-1-C10-S514-comb	78	2	0
cy78-CD45-neg-3-D09-S717-comb	78	2	0
cy78-CD45-neg-3-B08-S692-comb	78	2	0
cy78-CD45-neg-3-C09-S705-comb	78	2	0
cy78-CD45-neg-1-H02-S566-comb	78	2	0
cy78-CD45-neg-1-F05-S545-comb	78	2	0
cy78-CD45-neg-3-F12-S744-comb	78	2	0
cy78-CD45-neg-3-A05-S677-comb	78	2	0
cy78-CD45-neg-1-D09-S525-comb	78	2	0
cy78-CD45-neg-1-D12-S528-comb	78	2	0
cy78-CD45-neg-3-C01-S697-comb	78	2	0
cy78-CD45-neg-3-B03-S687-comb	78	0	0
cy78-CD45-neg-3-F07-S739-comb	78	2	0
cy78-CD45-neg-3-A12-S684-comb	78	2	0
cy78-CD45-neg-2-A06-S582-comb	78	1	1
cy78-CD45-neg-2-A12-S588-comb	78	2	0
cy78-CD45-neg-1-D01-S517-comb	78	2	0
cy78-CD45-neg-3-B01-S685-comb	78	2	0
cy78-CD45-neg-1-B11-S503-comb	78	2	0
cy78-CD45-neg-2-B10-S598-comb	78	2	0
cy78-CD45-neg-1-B06-S498-comb	78	2	0
cy78-CD45-neg-1-H03-S567-comb	78	2	0
cy78-CD45-neg-3-E07-S727-comb	78	2	0
cy78-CD45-neg-1-G12-S564-comb	78	2	0
cy78-CD45-neg-3-H02-S758-comb	78	2	0
cy78-CD45-neg-3-F09-S741-comb	78	2	0
cy78-CD45-neg-1-A11-S491-comb	78	2	0
cy78-CD45-neg-2-B11-S599-comb	78	0	0
cy78-CD45-neg-3-A06-S678-comb	78	0	0
cy78-CD45-neg-2-C07-S607-comb	78	2	0
cy78-CD45-neg-3-F05-S737-comb	78	2	0
cy78-CD45-neg-3-F01-S733-comb	78	2	0
cy78-CD45-neg-1-C01-S505-comb	78	2	0
cy78-CD45-neg-2-A05-S581-comb	78	2	0
cy78-CD45-neg-1-H05-S569-comb	78	2	0
cy78-CD45-neg-3-F04-S736-comb	78	2	0
cy78-CD45-neg-3-E06-S726-comb	78	2	0
cy78-CD45-neg-3-G01-S745-comb	78	1	5
cy78-CD45-neg-3-F03-S735-comb	78	2	0
cy78-CD45-neg-3-C04-S700-comb	78	2	0
cy78-CD45-neg-1-C06-S510-comb	78	2	0
cy78-CD45-neg-3-G10-S754-comb	78	2	0
cy78-CD45-neg-3-H04-S760-comb	78	2	0
cy78-CD45-neg-1-D04-S520-comb	78	2	0
cy78-CD45-neg-3-A11-S683-comb	78	2	0
cy78-CD45-neg-2-B05-S593-comb	78	2	0
cy78-CD45-neg-3-B10-S694-comb	78	2	0
cy78-CD45-neg-3-G05-S749-comb	78	0	0
cy78-CD45-neg-3-G08-S752-comb	78	2	0
cy78-CD45-neg-1-C05-S509-comb	78	2	0
cy78-CD45-neg-3-D11-S719-comb	78	2	0
cy78-CD45-neg-3-B05-S689-comb	78	2	0
cy78-CD45-neg-3-G03-S747-comb	78	2	0
cy78-CD45-neg-1-B12-S504-comb	78	2	0
cy78-CD45-neg-2-A10-S586-comb	78	2	0
cy78-CD45-neg-3-F10-S742-comb	78	2	0
cy78-CD45-neg-1-H12-S576-comb	78	0	0
cy78-CD45-neg-3-A09-S681-comb	78	2	0
cy78-CD45-neg-1-A06-S486-comb	78	2	0
cy78-CD45-neg-1-F11-S551-comb	78	2	0
cy78-CD45-neg-3-D12-S720-comb	78	2	0
cy78-CD45-neg-3-A03-S675-comb	78	2	0
cy78-CD45-neg-1-C07-S511-comb	78	2	0
cy78-CD45-neg-2-A08-S584-comb	78	1	2
cy78-CD45-neg-3-D06-S714-comb	78	2	0
cy78-CD45-neg-3-C10-S706-comb	78	2	0
cy78-CD45-neg-3-C03-S699-comb	78	2	0
cy78-CD45-neg-3-H08-S764-comb	78	2	0
cy78-CD45-neg-2-B07-S595-comb	78	0	0
cy78-CD45-neg-3-B04-S688-comb	78	2	0
cy78-CD45-neg-3-A08-S680-comb	78	2	0
cy78-CD45-neg-3-F08-S740-comb	78	2	0
cy78-CD45-neg-3-G06-S750-comb	78	2	0
cy78-CD45-neg-3-E10-S730-comb	78	2	0
cy78-CD45-neg-1-G01-S553-comb	78	2	0
cy78-CD45-neg-3-B11-S695-comb	78	2	0
cy78-CD45-neg-1-F07-S547-comb	78	2	0
cy78-CD45-neg-1-C03-S507-comb	78	2	0
cy78-CD45-neg-1-D06-S522-comb	78	2	0
cy78-CD45-neg-3-F11-S743-comb	78	2	0
cy78-CD45-neg-3-A07-S679-comb	78	2	0
cy78-CD45-neg-1-H10-S574-comb	78	2	0
cy78-CD45-neg-1-G02-S554-comb	78	2	0
cy78-CD45-neg-3-E12-S732-comb	78	2	0
cy78-CD45-neg-3-A10-S682-comb	78	2	0
cy78-CD45-neg-1-E09-S537-comb	78	2	0
cy78-CD45-neg-1-C04-S508-comb	78	2	0
cy78-CD45-neg-3-A04-S676-comb	78	2	0
cy78-CD45-neg-3-G12-S756-comb	78	2	0
cy78-CD45-neg-3-E04-S724-comb	78	2	0
cy78-CD45-neg-3-H09-S765-comb	78	2	0
